Ticker
AMD
AMZN
VIAC
NVDA
SPCE
PLTR
SOFI
F
AAPL
AMC
FB
ITUB
CCL
T
GOLD
ERIC
UPST
NIO
BAC
SNAP
AAL
PBR
UBER
NOK
ZNGA
PFE
PCG
PYPL
BBD
MSFT
VG
INTC
MRO
FCEL
ABNB
M
GILD
KGC
SLB
RIG
DVN
WFC
TTD
XOM
NCLH
SIRI
VALE
ABEV
AUY
VZ
MTTR
SQ
OXY
LUMN
EDU
TLRY
DKNG
NLY
HOOD
TSLA
PLUG
SWN
LCID
FTI
BP
CSCO
DIDI
GRAB
SABR
CLF
MU
PTON
ET
KHC
X
AFRM
DAL
KMI
DISCA
TWTR
RIVN
CMCSA
EQT
TOST
ONB
HAL
GM
FCX
LYG
PINS
PBR-A
HST
BMY
CSX
APPS
HMY
C
CVE
MARA
IQ
GFI
FSR
GT
KO
MS
BABA
PACB
JOBY
UAL
SHOP
CVX
EXC
DIS
Z
BKR
OPEN
JPM
RLX
GPS
DNA
AR
NU
WIX
MASI
JBLU
QCOM
WMT
SE
TME
NKLA
CHPT
ZI
TAL
AMAT
CPG
LU
KR
AZN
BHG
QS
VTRS
APA
CRSR
UAA
JNJ
ANGI
DISCK
UMC
BTU
BTG
AA
CPNG
MRK
ABBV
IS
MRVL
CGC
CX
MDT
DASH
STNE
SO
LYFT
PG
TCOM
GGB
AGNC
HPE
SBUX
FTCH
BHP
TCEHY
RIOT
ORCL
SHO
CNHI
NEM
PTEN
CDEV
JD
COP
BEKE
NEE
DWAC
MO
SU
PDD
ADI
FSLY
INFY
FIS
INVH
TEVA
MPW
BA
LVS
XPEV
WU
PM
HBI
